NUM_LAYERS: 2, DROPOUT: 0.2, WEIGHT_DECAY: 0.001, HIDDEN_SIZE: 128, LR: 0.0001
tensor(1.3021, grad_fn=<NllLossBackward0>)
tensor(1.2241, grad_fn=<NllLossBackward0>)
tensor(1.1742, grad_fn=<NllLossBackward0>)
tensor(1.3179, grad_fn=<NllLossBackward0>)
tensor(0.9263, grad_fn=<NllLossBackward0>)
tensor(1.0470, grad_fn=<NllLossBackward0>)
tensor(1.0419, grad_fn=<NllLossBackward0>)
tensor(1.0198, grad_fn=<NllLossBackward0>)
tensor(1.0841, grad_fn=<NllLossBackward0>)
tensor(1.0775, grad_fn=<NllLossBackward0>)
tensor(1.2395, grad_fn=<NllLossBackward0>)
tensor(1.1839, grad_fn=<NllLossBackward0>)
tensor(2.7205, grad_fn=<NllLossBackward0>)
tensor(1.0208, grad_fn=<NllLossBackward0>)
tensor(1.0235, grad_fn=<NllLossBackward0>)
tensor(1.0838, grad_fn=<NllLossBackward0>)
tensor(1.1044, grad_fn=<NllLossBackward0>)
tensor(1.1450, grad_fn=<NllLossBackward0>)
tensor(1.1642, grad_fn=<NllLossBackward0>)
tensor(0.9775, grad_fn=<NllLossBackward0>)
tensor(1.0241, grad_fn=<NllLossBackward0>)
tensor(1.1990, grad_fn=<NllLossBackward0>)
tensor(1.0982, grad_fn=<NllLossBackward0>)
tensor(1.2837, grad_fn=<NllLossBackward0>)
tensor(1.1952, grad_fn=<NllLossBackward0>)
tensor(1.3296, grad_fn=<NllLossBackward0>)
tensor(1.0771, grad_fn=<NllLossBackward0>)
tensor(0.9453, grad_fn=<NllLossBackward0>)
tensor(1.0905, grad_fn=<NllLossBackward0>)
tensor(1.0467, grad_fn=<NllLossBackward0>)
tensor(1.2864, grad_fn=<NllLossBackward0>)
tensor(1.1379, grad_fn=<NllLossBackward0>)
tensor(1.0925, grad_fn=<NllLossBackward0>)
tensor(1.1560, grad_fn=<NllLossBackward0>)
tensor(1.1495, grad_fn=<NllLossBackward0>)
tensor(1.0344, grad_fn=<NllLossBackward0>)
tensor(0.9281, grad_fn=<NllLossBackward0>)
tensor(1.2337, grad_fn=<NllLossBackward0>)
tensor(1.9000, grad_fn=<NllLossBackward0>)
tensor(0.9408, grad_fn=<NllLossBackward0>)
